fold,split,task_id,impl_index,similarity,distance,distance_norm
fold_0,test,BigCodeBench/46,3,0.9524649,444,1.768924303
fold_0,test,BigCodeBench/1056,1,0.99505985,311,0.4533527697
fold_0,test,BigCodeBench/1056,2,0.9864463,368,0.5364431487
fold_0,test,BigCodeBench/1056,3,0.9795357,331,0.4825072886
fold_0,test,BigCodeBench/602,1,0.99047995,226,0.6108108108
fold_0,test,BigCodeBench/602,2,0.98028183,318,0.8594594595
fold_0,test,BigCodeBench/602,3,0.98665076,185,0.5
fold_0,test,BigCodeBench/785,1,0.99653876,400,0.583090379
fold_0,test,BigCodeBench/785,2,0.9967809,394,0.5743440233
fold_0,test,BigCodeBench/785,3,0.9954348,370,0.5393586006
fold_0,test,BigCodeBench/583,1,0.99777097,264,0.4217252396
fold_0,test,BigCodeBench/583,2,0.989038,375,0.5990415335
fold_0,test,BigCodeBench/583,3,0.9960938,309,0.4936102236
fold_0,test,BigCodeBench/1005,1,0.9849087,426,0.656394453
fold_0,test,BigCodeBench/1005,2,0.98774076,673,1.036979969
fold_0,test,BigCodeBench/1005,3,0.99260116,407,0.6271186441
fold_0,test,BigCodeBench/1012,1,0.9967164,629,0.551754386
fold_0,test,BigCodeBench/1012,2,0.99771196,642,0.5631578947
fold_0,test,BigCodeBench/1012,3,0.9954457,595,0.5219298246
fold_0,test,BigCodeBench/103,1,0.9921703,652,0.9340974212
fold_0,test,BigCodeBench/103,2,0.9914714,705,1.010028653
fold_0,test,BigCodeBench/103,3,0.99187165,426,0.6103151862
fold_0,test,BigCodeBench/973,1,0.9962716,350,0.4196642686
fold_0,test,BigCodeBench/973,2,0.98881817,487,0.5839328537
fold_0,test,BigCodeBench/973,3,0.99592066,456,0.5467625899
fold_0,test,BigCodeBench/202,1,0.9847752,471,0.6023017903
fold_0,test,BigCodeBench/202,2,0.9645133,489,0.6253196931
fold_0,test,BigCodeBench/202,3,0.9917782,456,0.5831202046
fold_0,test,BigCodeBench/881,1,0.99207425,505,0.7537313433
fold_0,test,BigCodeBench/881,2,0.97419417,619,0.923880597
fold_0,test,BigCodeBench/881,3,0.96197,350,0.5223880597
fold_0,test,BigCodeBench/195,1,0.96328914,527,1.43989071
fold_0,test,BigCodeBench/195,2,0.9530014,451,1.232240437
fold_0,test,BigCodeBench/195,3,0.9899155,123,0.3360655738
fold_0,test,BigCodeBench/894,1,0.99470615,373,0.5509601182
fold_0,test,BigCodeBench/894,2,0.99091303,425,0.6277695716
fold_0,test,BigCodeBench/894,3,0.995971,159,0.234859675
fold_0,test,BigCodeBench/320,1,0.9876075,165,0.390070922
fold_0,test,BigCodeBench/320,2,0.97788984,369,0.8723404255
fold_0,test,BigCodeBench/320,3,0.9837393,214,0.5059101655
fold_0,test,BigCodeBench/224,1,0.98859155,731,0.9171894605
fold_0,test,BigCodeBench/224,2,0.9901984,753,0.9447929737
fold_0,test,BigCodeBench/224,3,0.9930758,667,0.8368883312
fold_0,test,BigCodeBench/397,1,0.9557624,1256,3.14
fold_0,test,BigCodeBench/397,2,0.96743274,759,1.8975
fold_0,test,BigCodeBench/397,3,0.97115415,644,1.61
fold_0,test,BigCodeBench/1094,1,0.99345744,157,0.3964646465
fold_0,test,BigCodeBench/1094,2,0.99291587,163,0.4116161616
fold_0,test,BigCodeBench/1094,3,0.9885777,273,0.6893939394
fold_0,test,BigCodeBench/715,1,0.95108014,1030,3.47972973
fold_0,test,BigCodeBench/715,2,0.93842196,1042,3.52027027
fold_0,test,BigCodeBench/715,3,0.9666093,448,1.513513514
fold_0,test,BigCodeBench/989,1,0.9893745,948,0.9566094854
fold_0,test,BigCodeBench/989,2,0.9969837,399,0.4026236125
fold_0,test,BigCodeBench/989,3,0.9941591,640,0.6458123108
fold_0,test,BigCodeBench/1040,1,0.99896866,2348,1.244962884
fold_0,test,BigCodeBench/1040,2,0.9983479,1470,0.7794273595
fold_0,test,BigCodeBench/1040,3,0.9960343,865,0.4586426299
fold_0,test,BigCodeBench/914,1,0.994211,427,0.5865384615
fold_0,test,BigCodeBench/914,2,0.99018973,608,0.8351648352
fold_0,test,BigCodeBench/914,3,0.99125147,525,0.7211538462
fold_0,test,BigCodeBench/524,1,0.99693143,518,0.5390218522
fold_0,test,BigCodeBench/524,2,0.9963276,510,0.5306971904
fold_0,test,BigCodeBench/524,3,0.99625885,671,0.6982310094
fold_0,test,BigCodeBench/440,1,0.9964354,340,0.4657534247
fold_0,test,BigCodeBench/440,2,0.997593,317,0.4342465753
fold_0,test,BigCodeBench/440,3,0.99360085,346,0.4739726027
fold_0,test,BigCodeBench/975,1,0.99619,119,0.371875
fold_0,test,BigCodeBench/975,2,0.9950428,123,0.384375
fold_0,test,BigCodeBench/975,3,0.99277955,147,0.459375
fold_0,test,BigCodeBench/85,1,0.98979175,747,0.9701298701
fold_0,test,BigCodeBench/85,2,0.990057,1025,1.331168831
fold_0,test,BigCodeBench/85,3,0.989413,660,0.8571428571
fold_0,test,BigCodeBench/219,1,0.96788126,830,1.545623836
fold_0,test,BigCodeBench/219,2,0.98886746,345,0.6424581006
fold_0,test,BigCodeBench/219,3,0.98348,404,0.7523277467
fold_0,test,BigCodeBench/567,1,0.98618346,338,0.5605306799
fold_0,test,BigCodeBench/567,2,0.9909481,322,0.5339966833
fold_0,test,BigCodeBench/567,3,0.97585636,306,0.5074626866
fold_0,test,BigCodeBench/493,1,0.9974874,765,0.6681222707
fold_0,test,BigCodeBench/493,2,0.9975795,608,0.5310043668
fold_0,test,BigCodeBench/493,3,0.9969755,518,0.4524017467
fold_0,test,BigCodeBench/49,1,0.9946648,251,0.5340425532
fold_0,test,BigCodeBench/49,2,0.9836633,322,0.685106383
fold_0,test,BigCodeBench/49,3,0.99535733,167,0.3553191489
fold_0,test,BigCodeBench/934,1,0.98383653,185,0.7773109244
fold_0,test,BigCodeBench/934,2,0.9896773,146,0.6134453782
fold_0,test,BigCodeBench/934,3,0.9894784,166,0.6974789916
fold_0,test,BigCodeBench/124,1,0.99783194,286,0.368556701
fold_0,test,BigCodeBench/124,2,0.99492943,311,0.4007731959
fold_0,test,BigCodeBench/124,3,0.9983681,271,0.3492268041
fold_0,test,BigCodeBench/386,1,0.9836974,204,0.5528455285
fold_0,test,BigCodeBench/386,2,0.9847737,200,0.5420054201
fold_0,test,BigCodeBench/386,3,0.9959334,91,0.2466124661
fold_0,test,BigCodeBench/569,1,0.98876333,353,0.9051282051
fold_0,test,BigCodeBench/569,2,0.98076296,436,1.117948718
fold_0,test,BigCodeBench/569,3,0.99221426,315,0.8076923077
fold_0,test,BigCodeBench/1102,1,0.9894357,342,0.5836177474
fold_0,test,BigCodeBench/1102,2,0.97169256,590,1.006825939
fold_0,test,BigCodeBench/1102,3,0.9813429,536,0.9146757679
fold_0,test,BigCodeBench/664,1,0.9918779,546,0.78
fold_0,test,BigCodeBench/664,2,0.9877039,778,1.111428571
fold_0,test,BigCodeBench/664,3,0.9861688,428,0.6114285714
fold_0,test,BigCodeBench/429,1,0.9964756,356,0.6345811052
fold_0,test,BigCodeBench/429,2,0.9934665,434,0.7736185383
fold_0,test,BigCodeBench/429,3,0.9937098,444,0.7914438503
fold_0,test,BigCodeBench/849,1,0.996002,140,0.343980344
fold_0,test,BigCodeBench/849,2,0.99336255,136,0.3341523342
fold_0,test,BigCodeBench/849,3,0.98794895,165,0.4054054054
fold_0,test,BigCodeBench/66,1,0.9916557,204,0.6845637584
fold_0,test,BigCodeBench/66,2,0.9501514,319,1.070469799
fold_0,test,BigCodeBench/66,3,0.9695207,452,1.516778523
fold_0,test,BigCodeBench/469,1,0.9948566,342,0.4323640961
fold_0,test,BigCodeBench/469,2,0.9950346,304,0.384323641
fold_0,test,BigCodeBench/469,3,0.99653304,367,0.4639696587
fold_0,test,BigCodeBench/635,1,0.9934814,863,0.637841833
fold_0,test,BigCodeBench/635,2,0.9917352,668,0.4937176644
fold_0,test,BigCodeBench/635,3,0.9900017,824,0.6090169993
fold_0,test,BigCodeBench/329,1,0.9766538,357,1.059347181
fold_0,test,BigCodeBench/329,2,0.97295403,451,1.338278932
fold_0,test,BigCodeBench/329,3,0.98633707,282,0.8367952522
fold_0,test,BigCodeBench/773,1,0.9927763,291,0.5150442478
fold_0,test,BigCodeBench/773,2,0.99162465,363,0.6424778761
fold_0,test,BigCodeBench/773,3,0.9955612,197,0.3486725664
fold_0,test,BigCodeBench/229,1,0.99542654,298,0.3840206186
fold_0,test,BigCodeBench/229,2,0.9965595,293,0.3775773196
fold_0,test,BigCodeBench/229,3,0.997355,301,0.3878865979
fold_0,test,BigCodeBench/726,1,0.9829284,287,0.5929752066
fold_0,test,BigCodeBench/726,2,0.9756937,189,0.3904958678
fold_0,test,BigCodeBench/726,3,0.97939575,175,0.3615702479
fold_0,test,BigCodeBench/51,1,0.997139,364,0.5126760563
