fold,split,task_id,distances,distances_norm
fold_0,test,BigCodeBench/565,"[726, 493, 443]","[1.7881773399014778, 1.2142857142857142, 1.0911330049261083]"
fold_0,test,BigCodeBench/402,"[1747, 1025, 641]","[3.979498861047836, 2.334851936218679, 1.460136674259681]"
fold_0,test,BigCodeBench/1113,"[412, 250, 194]","[0.8174603174603174, 0.49603174603174605, 0.38492063492063494]"
fold_0,test,BigCodeBench/1044,"[523, 656, 448]","[0.7077131258457375, 0.8876860622462788, 0.6062246278755075]"
fold_0,test,BigCodeBench/1030,"[64, 167, 39]","[0.23703703703703705, 0.6185185185185185, 0.14444444444444443]"
fold_0,test,BigCodeBench/918,"[231, 260, 380]","[0.7042682926829268, 0.7926829268292683, 1.1585365853658536]"
fold_0,test,BigCodeBench/597,"[262, 233, 257]","[0.6223277909738717, 0.5534441805225653, 0.6104513064133017]"
fold_0,test,BigCodeBench/697,"[238, 418, 418]","[0.5666666666666667, 0.9952380952380953, 0.9952380952380953]"
fold_0,test,BigCodeBench/929,"[258, 264, 254]","[0.7543859649122807, 0.7719298245614035, 0.7426900584795322]"
fold_0,test,BigCodeBench/944,"[259, 336, 226]","[0.3523809523809524, 0.45714285714285713, 0.3074829931972789]"
fold_0,test,BigCodeBench/701,"[403, 287, 330]","[1.5381679389312977, 1.0954198473282444, 1.2595419847328244]"
fold_0,test,BigCodeBench/246,"[391, 389, 269]","[0.7161172161172161, 0.7124542124542125, 0.4926739926739927]"
fold_0,test,BigCodeBench/986,"[788, 580, 589]","[0.976456009913259, 0.7187112763320942, 0.7298636926889716]"
fold_0,test,BigCodeBench/913,"[518, 537, 544]","[0.5846501128668171, 0.6060948081264108, 0.6139954853273137]"
fold_0,test,BigCodeBench/89,"[526, 404, 383]","[0.6025200458190149, 0.4627720504009164, 0.43871706758304696]"
fold_0,test,BigCodeBench/388,"[493, 519, 271]","[1.3926553672316384, 1.4661016949152543, 0.7655367231638418]"
fold_0,test,BigCodeBench/584,"[540, 521, 361]","[0.6844106463878327, 0.6603295310519645, 0.45754119138149557]"
fold_0,test,BigCodeBench/1009,"[462, 487, 438]","[0.8716981132075472, 0.9188679245283019, 0.8264150943396227]"
fold_0,test,BigCodeBench/1105,"[240, 1041, 200]","[0.39344262295081966, 1.7065573770491804, 0.32786885245901637]"
fold_0,test,BigCodeBench/237,"[374, 480, 343]","[0.5335235378031383, 0.6847360912981455, 0.4893009985734665]"
fold_0,test,BigCodeBench/412,"[450, 428, 569]","[1.4195583596214512, 1.3501577287066246, 1.7949526813880126]"
fold_0,test,BigCodeBench/15,"[752, 853, 460]","[0.8487584650112867, 0.9627539503386005, 0.5191873589164786]"
fold_0,test,BigCodeBench/81,"[421, 324, 76]","[1.0, 0.7695961995249406, 0.18052256532066507]"
fold_0,test,BigCodeBench/204,"[645, 475, 286]","[1.4726027397260273, 1.0844748858447488, 0.6529680365296804]"
fold_0,test,BigCodeBench/154,"[153, 343, 273]","[0.4322033898305085, 0.9689265536723164, 0.7711864406779662]"
fold_0,test,BigCodeBench/1064,"[277, 288, 292]","[0.6723300970873787, 0.6990291262135923, 0.7087378640776699]"
fold_0,test,BigCodeBench/344,"[122, 218, 401]","[0.25684210526315787, 0.4589473684210526, 0.8442105263157895]"
fold_0,test,BigCodeBench/941,"[273, 319, 169]","[0.41615853658536583, 0.48628048780487804, 0.2576219512195122]"
fold_0,test,BigCodeBench/606,"[46, 47, 78]","[0.21904761904761905, 0.22380952380952382, 0.37142857142857144]"
fold_0,test,BigCodeBench/46,"[330, 415, 444]","[1.3147410358565736, 1.653386454183267, 1.7689243027888446]"
fold_0,test,BigCodeBench/1056,"[311, 368, 331]","[0.45335276967930027, 0.5364431486880467, 0.48250728862973763]"
fold_0,test,BigCodeBench/602,"[226, 318, 185]","[0.6108108108108108, 0.8594594594594595, 0.5]"
fold_0,test,BigCodeBench/785,"[400, 394, 370]","[0.5830903790087464, 0.5743440233236151, 0.5393586005830904]"
fold_0,test,BigCodeBench/583,"[264, 375, 309]","[0.4217252396166134, 0.5990415335463258, 0.4936102236421725]"
fold_0,test,BigCodeBench/1005,"[426, 673, 407]","[0.6563944530046225, 1.036979969183359, 0.6271186440677966]"
fold_0,test,BigCodeBench/1012,"[629, 642, 595]","[0.5517543859649123, 0.5631578947368421, 0.5219298245614035]"
fold_0,test,BigCodeBench/103,"[652, 705, 426]","[0.9340974212034384, 1.010028653295129, 0.6103151862464183]"
fold_0,test,BigCodeBench/973,"[350, 487, 456]","[0.4196642685851319, 0.5839328537170264, 0.5467625899280576]"
fold_0,test,BigCodeBench/202,"[471, 489, 456]","[0.6023017902813299, 0.6253196930946292, 0.5831202046035806]"
fold_0,test,BigCodeBench/881,"[505, 619, 350]","[0.753731343283582, 0.9238805970149254, 0.5223880597014925]"
fold_0,test,BigCodeBench/195,"[527, 451, 123]","[1.4398907103825136, 1.2322404371584699, 0.3360655737704918]"
fold_0,test,BigCodeBench/894,"[373, 425, 159]","[0.55096011816839, 0.6277695716395865, 0.23485967503692762]"
fold_0,test,BigCodeBench/320,"[165, 369, 214]","[0.3900709219858156, 0.8723404255319149, 0.5059101654846335]"
fold_0,test,BigCodeBench/224,"[731, 753, 667]","[0.917189460476788, 0.944792973651192, 0.8368883312421581]"
fold_0,test,BigCodeBench/397,"[1256, 759, 644]","[3.14, 1.8975, 1.61]"
fold_0,test,BigCodeBench/1094,"[157, 163, 273]","[0.39646464646464646, 0.4116161616161616, 0.6893939393939394]"
fold_0,test,BigCodeBench/715,"[1030, 1042, 448]","[3.47972972972973, 3.52027027027027, 1.5135135135135136]"
fold_0,test,BigCodeBench/989,"[948, 399, 640]","[0.9566094853683148, 0.4026236125126135, 0.6458123107971746]"
fold_0,test,BigCodeBench/1040,"[2348, 1470, 865]","[1.2449628844114529, 0.7794273594909862, 0.4586426299045599]"
fold_0,test,BigCodeBench/914,"[427, 608, 525]","[0.5865384615384616, 0.8351648351648352, 0.7211538461538461]"
fold_0,test,BigCodeBench/524,"[518, 510, 671]","[0.5390218522372529, 0.5306971904266389, 0.6982310093652445]"
fold_0,test,BigCodeBench/440,"[340, 317, 346]","[0.4657534246575342, 0.43424657534246575, 0.473972602739726]"
fold_0,test,BigCodeBench/975,"[119, 123, 147]","[0.371875, 0.384375, 0.459375]"
fold_0,test,BigCodeBench/85,"[747, 1025, 660]","[0.9701298701298702, 1.3311688311688312, 0.8571428571428571]"
fold_0,test,BigCodeBench/219,"[830, 345, 404]","[1.5456238361266295, 0.6424581005586593, 0.7523277467411545]"
fold_0,test,BigCodeBench/567,"[338, 322, 306]","[0.560530679933665, 0.5339966832504146, 0.5074626865671642]"
fold_0,test,BigCodeBench/493,"[765, 608, 518]","[0.6681222707423581, 0.5310043668122271, 0.4524017467248908]"
fold_0,test,BigCodeBench/49,"[251, 322, 167]","[0.5340425531914894, 0.6851063829787234, 0.3553191489361702]"
fold_0,test,BigCodeBench/934,"[185, 146, 166]","[0.7773109243697479, 0.6134453781512605, 0.6974789915966386]"
fold_0,test,BigCodeBench/124,"[286, 311, 271]","[0.36855670103092786, 0.4007731958762887, 0.3492268041237113]"
fold_0,test,BigCodeBench/386,"[204, 200, 91]","[0.5528455284552846, 0.5420054200542005, 0.24661246612466126]"
fold_0,test,BigCodeBench/569,"[353, 436, 315]","[0.9051282051282051, 1.117948717948718, 0.8076923076923077]"
fold_0,test,BigCodeBench/1102,"[342, 590, 536]","[0.5836177474402731, 1.006825938566553, 0.9146757679180887]"
fold_0,test,BigCodeBench/664,"[546, 778, 428]","[0.78, 1.1114285714285714, 0.6114285714285714]"
fold_0,test,BigCodeBench/429,"[356, 434, 444]","[0.6345811051693404, 0.7736185383244206, 0.7914438502673797]"
fold_0,test,BigCodeBench/849,"[140, 136, 165]","[0.343980343980344, 0.33415233415233414, 0.40540540540540543]"
fold_0,test,BigCodeBench/66,"[204, 319, 452]","[0.6845637583892618, 1.070469798657718, 1.516778523489933]"
fold_0,test,BigCodeBench/469,"[342, 304, 367]","[0.43236409608091025, 0.3843236409608091, 0.4639696586599241]"
fold_0,test,BigCodeBench/635,"[863, 668, 824]","[0.6378418329637842, 0.49371766444937176, 0.6090169992609017]"
fold_0,test,BigCodeBench/329,"[357, 451, 282]","[1.0593471810089021, 1.3382789317507418, 0.8367952522255193]"
fold_0,test,BigCodeBench/773,"[291, 363, 197]","[0.5150442477876106, 0.6424778761061947, 0.3486725663716814]"
fold_0,test,BigCodeBench/229,"[298, 293, 301]","[0.38402061855670105, 0.37757731958762886, 0.38788659793814434]"
fold_0,test,BigCodeBench/726,"[287, 189, 175]","[0.5929752066115702, 0.390495867768595, 0.3615702479338843]"
fold_0,test,BigCodeBench/51,"[364, 379, 351]","[0.5126760563380282, 0.5338028169014084, 0.4943661971830986]"
fold_0,test,BigCodeBench/951,"[420, 330, 442]","[0.6008583690987125, 0.4721030042918455, 0.6323319027181689]"
fold_0,test,BigCodeBench/476,"[340, 301, 374]","[1.1003236245954693, 0.9741100323624595, 1.2103559870550162]"
fold_0,test,BigCodeBench/188,"[770, 591, 643]","[0.7051282051282052, 0.5412087912087912, 0.5888278388278388]"
fold_0,test,BigCodeBench/528,"[521, 909, 418]","[0.7317415730337079, 1.276685393258427, 0.5870786516853933]"
fold_0,test,BigCodeBench/582,"[360, 427, 380]","[0.6654343807763401, 0.789279112754159, 0.7024029574861368]"
fold_0,test,BigCodeBench/348,"[1380, 436, 328]","[3.780821917808219, 1.1945205479452055, 0.8986301369863013]"
fold_0,test,BigCodeBench/886,"[261, 387, 626]","[0.5294117647058824, 0.7849898580121704, 1.2697768762677484]"
fold_0,test,BigCodeBench/779,"[954, 896, 869]","[0.6437246963562753, 0.6045883940620783, 0.5863697705802969]"
fold_0,test,BigCodeBench/241,"[185, 288, 251]","[0.3862212943632568, 0.6012526096033403, 0.524008350730689]"
fold_0,test,BigCodeBench/1097,"[196, 169, 173]","[0.1636060100166945, 0.14106844741235391, 0.14440734557595994]"
fold_0,test,BigCodeBench/763,"[1283, 480, 418]","[1.7894002789400278, 0.6694560669456067, 0.5829846582984658]"
fold_0,test,BigCodeBench/620,"[107, 497, 122]","[0.4053030303030303, 1.8825757575757576, 0.4621212121212121]"
fold_0,test,BigCodeBench/395,"[261, 263, 295]","[0.3367741935483871, 0.3393548387096774, 0.38064516129032255]"
fold_0,test,BigCodeBench/618,"[475, 481, 461]","[0.5214050493962679, 0.5279912184412733, 0.5060373216245884]"
fold_0,test,BigCodeBench/332,"[230, 140, 196]","[0.7443365695792881, 0.45307443365695793, 0.6343042071197411]"
fold_0,test,BigCodeBench/955,"[552, 562, 368]","[0.9701230228471002, 0.9876977152899824, 0.6467486818980668]"
fold_0,test,BigCodeBench/1041,"[672, 609, 556]","[0.8795811518324608, 0.7971204188481675, 0.7277486910994765]"
fold_0,test,BigCodeBench/413,"[801, 742, 476]","[1.1265822784810127, 1.0436005625879043, 0.6694796061884669]"
fold_0,test,BigCodeBench/93,"[553, 570, 387]","[0.9550949913644214, 0.9844559585492227, 0.6683937823834197]"
fold_0,test,BigCodeBench/900,"[347, 340, 687]","[0.43924050632911393, 0.43037974683544306, 0.8696202531645569]"
fold_0,test,BigCodeBench/997,"[89, 99, 118]","[0.2045977011494253, 0.22758620689655173, 0.271264367816092]"
fold_0,test,BigCodeBench/1039,"[504, 496, 457]","[0.5195876288659794, 0.511340206185567, 0.4711340206185567]"
fold_0,test,BigCodeBench/443,"[429, 303, 261]","[0.4953810623556582, 0.34988452655889146, 0.30138568129330257]"
fold_0,test,BigCodeBench/947,"[329, 313, 304]","[0.5384615384615384, 0.5122749590834698, 0.49754500818330605]"
fold_0,test,BigCodeBench/1120,"[846, 793, 632]","[2.115, 1.9825, 1.58]"
fold_0,test,BigCodeBench/885,"[478, 450, 625]","[0.4552380952380952, 0.42857142857142855, 0.5952380952380952]"
fold_0,test,BigCodeBench/363,"[149, 82, 97]","[0.3303769401330377, 0.18181818181818182, 0.21507760532150777]"
fold_0,test,BigCodeBench/513,"[616, 677, 738]","[0.6609442060085837, 0.7263948497854077, 0.7918454935622318]"
fold_0,test,BigCodeBench/172,"[308, 206, 75]","[0.9565217391304348, 0.639751552795031, 0.2329192546583851]"
fold_0,test,BigCodeBench/117,"[353, 374, 375]","[0.4048165137614679, 0.4288990825688073, 0.43004587155963303]"
fold_0,test,BigCodeBench/321,"[436, 466, 422]","[0.6374269005847953, 0.6812865497076024, 0.6169590643274854]"
fold_0,test,BigCodeBench/115,"[209, 375, 317]","[0.5648648648648649, 1.0135135135135136, 0.8567567567567568]"
fold_0,test,BigCodeBench/41,"[234, 382, 205]","[0.7069486404833837, 1.1540785498489425, 0.6193353474320241]"
fold_0,test,BigCodeBench/8,"[180, 125, 139]","[0.4972375690607735, 0.3453038674033149, 0.3839779005524862]"
fold_0,test,BigCodeBench/818,"[144, 132, 130]","[0.6457399103139013, 0.5919282511210763, 0.5829596412556054]"
fold_0,test,BigCodeBench/50,"[314, 268, 495]","[0.43310344827586206, 0.3696551724137931, 0.6827586206896552]"
fold_0,test,BigCodeBench/125,"[191, 143, 88]","[0.40210526315789474, 0.30105263157894735, 0.18526315789473685]"
fold_0,test,BigCodeBench/614,"[360, 356, 315]","[0.8, 0.7911111111111111, 0.7]"
fold_0,test,BigCodeBench/323,"[541, 474, 479]","[0.7524339360222532, 0.6592489568845619, 0.6662030598052852]"
fold_0,test,BigCodeBench/317,"[226, 293, 246]","[0.4574898785425101, 0.5931174089068826, 0.4979757085020243]"
fold_0,test,BigCodeBench/864,"[418, 447, 424]","[0.599713055954089, 0.6413199426111909, 0.6083213773314203]"
fold_0,test,BigCodeBench/993,"[375, 492, 523]","[0.5136986301369864, 0.673972602739726, 0.7164383561643836]"
fold_0,test,BigCodeBench/1122,"[300, 290, 267]","[0.6944444444444444, 0.6712962962962963, 0.6180555555555556]"
