fold,split,task_id,impl_index,distance,distance_norm
fold_0,test,BigCodeBench/701,2,287,1.0954198473282444
fold_0,test,BigCodeBench/701,3,330,1.2595419847328244
fold_0,test,BigCodeBench/246,1,391,0.7161172161172161
fold_0,test,BigCodeBench/246,2,389,0.7124542124542125
fold_0,test,BigCodeBench/246,3,269,0.4926739926739927
fold_0,test,BigCodeBench/986,1,788,0.976456009913259
fold_0,test,BigCodeBench/986,2,580,0.7187112763320942
fold_0,test,BigCodeBench/986,3,589,0.7298636926889716
fold_0,test,BigCodeBench/913,1,518,0.5846501128668171
fold_0,test,BigCodeBench/913,2,537,0.6060948081264108
fold_0,test,BigCodeBench/913,3,544,0.6139954853273137
fold_0,test,BigCodeBench/89,1,526,0.6025200458190149
fold_0,test,BigCodeBench/89,2,404,0.4627720504009164
fold_0,test,BigCodeBench/89,3,383,0.43871706758304696
fold_0,test,BigCodeBench/388,1,493,1.3926553672316384
fold_0,test,BigCodeBench/388,2,519,1.4661016949152543
fold_0,test,BigCodeBench/388,3,271,0.7655367231638418
fold_0,test,BigCodeBench/584,1,540,0.6844106463878327
fold_0,test,BigCodeBench/584,2,521,0.6603295310519645
fold_0,test,BigCodeBench/584,3,361,0.45754119138149557
fold_0,test,BigCodeBench/1009,1,462,0.8716981132075472
fold_0,test,BigCodeBench/1009,2,487,0.9188679245283019
fold_0,test,BigCodeBench/1009,3,438,0.8264150943396227
fold_0,test,BigCodeBench/1105,1,240,0.39344262295081966
fold_0,test,BigCodeBench/1105,2,1041,1.7065573770491804
fold_0,test,BigCodeBench/1105,3,200,0.32786885245901637
fold_0,test,BigCodeBench/237,1,374,0.5335235378031383
fold_0,test,BigCodeBench/237,2,480,0.6847360912981455
fold_0,test,BigCodeBench/237,3,343,0.4893009985734665
fold_0,test,BigCodeBench/412,1,450,1.4195583596214512
fold_0,test,BigCodeBench/412,2,428,1.3501577287066246
fold_0,test,BigCodeBench/412,3,569,1.7949526813880126
fold_0,test,BigCodeBench/15,1,752,0.8487584650112867
fold_0,test,BigCodeBench/15,2,853,0.9627539503386005
fold_0,test,BigCodeBench/15,3,460,0.5191873589164786
fold_0,test,BigCodeBench/81,1,421,1.0
fold_0,test,BigCodeBench/81,2,324,0.7695961995249406
fold_0,test,BigCodeBench/81,3,76,0.18052256532066507
fold_0,test,BigCodeBench/204,1,645,1.4726027397260273
fold_0,test,BigCodeBench/204,2,475,1.0844748858447488
fold_0,test,BigCodeBench/204,3,286,0.6529680365296804
fold_0,test,BigCodeBench/154,1,153,0.4322033898305085
fold_0,test,BigCodeBench/154,2,343,0.9689265536723164
fold_0,test,BigCodeBench/154,3,273,0.7711864406779662
fold_0,test,BigCodeBench/1064,1,277,0.6723300970873787
fold_0,test,BigCodeBench/1064,2,288,0.6990291262135923
fold_0,test,BigCodeBench/1064,3,292,0.7087378640776699
fold_0,test,BigCodeBench/344,1,122,0.25684210526315787
fold_0,test,BigCodeBench/344,2,218,0.4589473684210526
fold_0,test,BigCodeBench/344,3,401,0.8442105263157895
fold_0,test,BigCodeBench/941,1,273,0.41615853658536583
fold_0,test,BigCodeBench/941,2,319,0.48628048780487804
fold_0,test,BigCodeBench/941,3,169,0.2576219512195122
fold_0,test,BigCodeBench/606,1,46,0.21904761904761905
fold_0,test,BigCodeBench/606,2,47,0.22380952380952382
fold_0,test,BigCodeBench/606,3,78,0.37142857142857144
fold_0,test,BigCodeBench/46,1,330,1.3147410358565736
fold_0,test,BigCodeBench/46,2,415,1.653386454183267
fold_0,test,BigCodeBench/46,3,444,1.7689243027888446
fold_0,test,BigCodeBench/1056,1,311,0.45335276967930027
fold_0,test,BigCodeBench/1056,2,368,0.5364431486880467
fold_0,test,BigCodeBench/1056,3,331,0.48250728862973763
fold_0,test,BigCodeBench/602,1,226,0.6108108108108108
fold_0,test,BigCodeBench/602,2,318,0.8594594594594595
fold_0,test,BigCodeBench/602,3,185,0.5
fold_0,test,BigCodeBench/785,1,400,0.5830903790087464
fold_0,test,BigCodeBench/785,2,394,0.5743440233236151
fold_0,test,BigCodeBench/785,3,370,0.5393586005830904
fold_0,test,BigCodeBench/583,1,264,0.4217252396166134
fold_0,test,BigCodeBench/583,2,375,0.5990415335463258
fold_0,test,BigCodeBench/583,3,309,0.4936102236421725
fold_0,test,BigCodeBench/1005,1,426,0.6563944530046225
fold_0,test,BigCodeBench/1005,2,673,1.036979969183359
fold_0,test,BigCodeBench/1005,3,407,0.6271186440677966
fold_0,test,BigCodeBench/1012,1,629,0.5517543859649123
fold_0,test,BigCodeBench/1012,2,642,0.5631578947368421
fold_0,test,BigCodeBench/1012,3,595,0.5219298245614035
fold_0,test,BigCodeBench/103,1,652,0.9340974212034384
fold_0,test,BigCodeBench/103,2,705,1.010028653295129
fold_0,test,BigCodeBench/103,3,426,0.6103151862464183
fold_0,test,BigCodeBench/973,1,350,0.4196642685851319
fold_0,test,BigCodeBench/973,2,487,0.5839328537170264
fold_0,test,BigCodeBench/973,3,456,0.5467625899280576
fold_0,test,BigCodeBench/202,1,471,0.6023017902813299
fold_0,test,BigCodeBench/202,2,489,0.6253196930946292
fold_0,test,BigCodeBench/202,3,456,0.5831202046035806
fold_0,test,BigCodeBench/881,1,505,0.753731343283582
fold_0,test,BigCodeBench/881,2,619,0.9238805970149254
fold_0,test,BigCodeBench/881,3,350,0.5223880597014925
fold_0,test,BigCodeBench/195,1,527,1.4398907103825136
fold_0,test,BigCodeBench/195,2,451,1.2322404371584699
fold_0,test,BigCodeBench/195,3,123,0.3360655737704918
fold_0,test,BigCodeBench/894,1,373,0.55096011816839
fold_0,test,BigCodeBench/894,2,425,0.6277695716395865
fold_0,test,BigCodeBench/894,3,159,0.23485967503692762
fold_0,test,BigCodeBench/320,1,165,0.3900709219858156
fold_0,test,BigCodeBench/320,2,369,0.8723404255319149
fold_0,test,BigCodeBench/320,3,214,0.5059101654846335
fold_0,test,BigCodeBench/224,1,731,0.917189460476788
fold_0,test,BigCodeBench/224,2,753,0.944792973651192
fold_0,test,BigCodeBench/224,3,667,0.8368883312421581
fold_0,test,BigCodeBench/397,1,1256,3.14
fold_0,test,BigCodeBench/397,2,759,1.8975
fold_0,test,BigCodeBench/397,3,644,1.61
fold_0,test,BigCodeBench/1094,1,157,0.39646464646464646
fold_0,test,BigCodeBench/1094,2,163,0.4116161616161616
fold_0,test,BigCodeBench/1094,3,273,0.6893939393939394
fold_0,test,BigCodeBench/715,1,1030,3.47972972972973
fold_0,test,BigCodeBench/715,2,1042,3.52027027027027
fold_0,test,BigCodeBench/715,3,448,1.5135135135135136
fold_0,test,BigCodeBench/989,1,948,0.9566094853683148
fold_0,test,BigCodeBench/989,2,399,0.4026236125126135
fold_0,test,BigCodeBench/989,3,640,0.6458123107971746
fold_0,test,BigCodeBench/1040,1,2348,1.2449628844114529
fold_0,test,BigCodeBench/1040,2,1470,0.7794273594909862
fold_0,test,BigCodeBench/1040,3,865,0.4586426299045599
fold_0,test,BigCodeBench/914,1,427,0.5865384615384616
fold_0,test,BigCodeBench/914,2,608,0.8351648351648352
fold_0,test,BigCodeBench/914,3,525,0.7211538461538461
fold_0,test,BigCodeBench/524,1,518,0.5390218522372529
fold_0,test,BigCodeBench/524,2,510,0.5306971904266389
fold_0,test,BigCodeBench/524,3,671,0.6982310093652445
fold_0,test,BigCodeBench/440,1,340,0.4657534246575342
fold_0,test,BigCodeBench/440,2,317,0.43424657534246575
fold_0,test,BigCodeBench/440,3,346,0.473972602739726
fold_0,test,BigCodeBench/975,1,119,0.371875
fold_0,test,BigCodeBench/975,2,123,0.384375
fold_0,test,BigCodeBench/975,3,147,0.459375
fold_0,test,BigCodeBench/85,1,747,0.9701298701298702
fold_0,test,BigCodeBench/85,2,1025,1.3311688311688312
fold_0,test,BigCodeBench/85,3,660,0.8571428571428571
fold_0,test,BigCodeBench/219,1,830,1.5456238361266295
fold_0,test,BigCodeBench/219,2,345,0.6424581005586593
fold_0,test,BigCodeBench/219,3,404,0.7523277467411545
fold_0,test,BigCodeBench/567,1,338,0.560530679933665
fold_0,test,BigCodeBench/567,2,322,0.5339966832504146
fold_0,test,BigCodeBench/567,3,306,0.5074626865671642
fold_0,test,BigCodeBench/493,1,765,0.6681222707423581
fold_0,test,BigCodeBench/493,2,608,0.5310043668122271
fold_0,test,BigCodeBench/493,3,518,0.4524017467248908
fold_0,test,BigCodeBench/49,1,251,0.5340425531914894
fold_0,test,BigCodeBench/49,2,322,0.6851063829787234
fold_0,test,BigCodeBench/49,3,167,0.3553191489361702
fold_0,test,BigCodeBench/934,1,185,0.7773109243697479
fold_0,test,BigCodeBench/934,2,146,0.6134453781512605
fold_0,test,BigCodeBench/934,3,166,0.6974789915966386
fold_0,test,BigCodeBench/124,1,286,0.36855670103092786
fold_0,test,BigCodeBench/124,2,311,0.4007731958762887
fold_0,test,BigCodeBench/124,3,271,0.3492268041237113
fold_0,test,BigCodeBench/386,1,204,0.5528455284552846
fold_0,test,BigCodeBench/386,2,200,0.5420054200542005
fold_0,test,BigCodeBench/386,3,91,0.24661246612466126
fold_0,test,BigCodeBench/569,1,353,0.9051282051282051
fold_0,test,BigCodeBench/569,2,436,1.117948717948718
fold_0,test,BigCodeBench/569,3,315,0.8076923076923077
fold_0,test,BigCodeBench/1102,1,342,0.5836177474402731
fold_0,test,BigCodeBench/1102,2,590,1.006825938566553
fold_0,test,BigCodeBench/1102,3,536,0.9146757679180887
fold_0,test,BigCodeBench/664,1,546,0.78
fold_0,test,BigCodeBench/664,2,778,1.1114285714285714
fold_0,test,BigCodeBench/664,3,428,0.6114285714285714
fold_0,test,BigCodeBench/429,1,356,0.6345811051693404
fold_0,test,BigCodeBench/429,2,434,0.7736185383244206
fold_0,test,BigCodeBench/429,3,444,0.7914438502673797
fold_0,test,BigCodeBench/849,1,140,0.343980343980344
fold_0,test,BigCodeBench/849,2,136,0.33415233415233414
fold_0,test,BigCodeBench/849,3,165,0.40540540540540543
